,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2023-10-25,@,NYK,W,108,104,,113.2,109.0,95.4,.338,.506,.611,49.5,48.6,6.3,19.6,.558,12.8,18.9,.286,.464,9.2,30.4,.144
2,2,2023-10-27,,MIA,W,119,111,,119.8,111.7,99.3,.200,.411,.576,55.0,44.4,7.0,10.7,.558,12.7,32.0,.137,.517,10.8,22.0,.213
3,3,2023-10-30,@,WAS,W,126,107,,123.2,104.6,102.3,.069,.520,.600,56.0,60.8,10.8,11.8,.593,14.6,34.1,.049,.511,13.2,23.4,.207
4,4,2023-11-01,,IND,W,155,104,,146.9,98.5,105.5,.295,.368,.722,64.8,50.0,4.7,3.1,.674,10.8,32.4,.284,.480,7.8,14.8,.069
5,5,2023-11-04,@,BRK,W,124,114,,123.7,113.8,100.2,.300,.500,.609,54.3,51.2,4.0,12.5,.561,9.7,23.8,.256,.515,5.3,20.0,.110
6,6,2023-11-06,@,MIN,L,109,114,OT,97.8,102.3,100.9,.370,.424,.510,50.0,55.6,11.7,4.2,.451,14.4,22.0,.283,.594,20.0,15.0,.153
7,7,2023-11-08,@,PHI,L,103,106,,102.1,105.0,100.9,.209,.516,.518,43.4,77.8,7.9,9.8,.478,11.6,17.0,.176,.489,12.1,26.1,.137
8,8,2023-11-10,,BRK,W,121,107,,127.9,113.1,94.6,.298,.553,.569,53.1,70.7,5.3,6.3,.537,7.0,31.5,.213,.535,11.4,20.5,.188
9,9,2023-11-11,,TOR,W,117,94,,119.4,96.0,98.0,.151,.512,.638,55.4,63.8,1.0,7.4,.634,12.4,14.3,.093,.440,8.4,14.6,.154
10,10,2023-11-13,,NYK,W,114,98,,132.2,113.6,86.2,.203,.544,.662,50.0,67.5,3.5,6.8,.627,11.3,24.2,.190,.513,11.8,29.3,.215
11,11,2023-11-15,@,PHI,W,117,107,,127.7,116.8,91.6,.216,.568,.607,52.3,54.8,7.6,14.5,.580,9.4,27.9,.170,.524,8.7,23.3,.212
